Title,Company,Location,Experience,Experience_Min,Experience_Max,Salary,Salary_Min,Salary_Max,Skills,Job_Category,Keyword,Source,Posted_Date,Work_Mode,Job_Link,Role_Category
Data Scientist AI,-,Hybrid - Bengaluru,3-8 Yrs,3.0,8.0,Not Available,,,"Artificial Intelligence, Computer Vision, Deep Learning, Machine Learning, Medical Imaging, Mri, Python, TensorFlow",Data Scientist,Data Scientist,Naukri,2 weeks ago,Hybrid,https://www.naukri.com/job-listings-data-scientist-ai-thompsons-hr-consulting-bengaluru-3-to-8-years-160726009069,Data Scientist
Power Bi Developer,.,Hybrid - Bengaluru,4-9 Yrs,4.0,9.0,10-20 Lacs PA,10.0,20.0,"Azure Databricks, Bi Development, ETL, Power BI, SQL, Schema, Star, Star Schema",Business Intelligence,Bi Developer,Naukri,3+ weeks ago,Hybrid,https://www.naukri.com/job-listings-power-bi-developer-n-k-consultants-bengaluru-4-to-9-years-020726004970,Business Intelligence
Sr Analyst / Sr SQL Developer,3LOQ,Mumbai,4-9 Yrs,4.0,9.0,Not Available,,,"Data Modeling, MySQL, Oracle, Performance Tuning, SSIS, Shell Scripting, Ssrs, Stored Procedures",SQL / Database,Sql,Naukri,3 weeks ago,On-site,https://www.naukri.com/job-listings-sr-analyst-sr-sql-developer-3loq-labs-mumbai-4-to-9-years-080726501295,SQL / Database
"Insights & Analytics Manager, APAC Marketing Centre",3M India,Bengaluru,8-10 Yrs,8.0,10.0,Not Available,,,"Analytics, Data Analysis, Data Management, Fmcg, Market Research, Portfolio Management, Relationship Management, Spss",Advanced Analytics,Analytics,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-insights-analytics-manager-apac-marketing-centre-3m-india-limited-bengaluru-8-to-10-years-190326504181,Advanced Analytics
"Insights & Analytics Manager, APAC Marketing Centre",3M India,Mumbai,8-10 Yrs,8.0,10.0,Not Available,,,"Analytics, Data Analysis, Data Management, Fmcg, Market Research, Portfolio Management, Relationship Management, Spss",Advanced Analytics,Analytics,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-insights-analytics-manager-apac-marketing-centre-3m-india-limited-mumbai-8-to-10-years-270326502487,Advanced Analytics
Power BI developer with D365,3i Infotech,Hyderabad(Gachibowli +1),3-7 Yrs,3.0,7.0,Not Available,,,"D365, Data Modeling, Dax, Modeling, Power BI, Power Query, Query, SQL",Business Intelligence,Power Bi,Naukri,2 weeks ago,On-site,https://www.naukri.com/job-listings-power-bi-developer-with-d365-3i-infotech-hyderabad-3-to-7-years-170726018513,Business Intelligence
Python Developer,47billion,Bengaluru,0-3 Yrs,0.0,3.0,Not Available,,,"Backend, Debugging, Django, Front End, Hp Data Protector, Html5, JavaScript, Side",Python Development,Python,Naukri,4 days ago,On-site,https://www.naukri.com/job-listings-python-developer-47-billion-information-technologies-private-limited-bengaluru-0-to-3-years-270726500368,Python Development
Business Intelligence Analyst,4S Advisory's,Mumbai,1-4 Yrs,1.0,4.0,Not Available,,,"Business Intelligence Analyst, CRM, Data Analysis, Financial Services, Market Research, SQL, Strategic Planning, Wealth Management",Business Intelligence,Business Intelligence,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-business-intelligence-analyst-4s-advisorys-mumbai-1-to-4-years-210726503691,Business Intelligence
Tealium Analytics Consultant,4labs Technologies,Remote,3-5 Yrs,3.0,5.0,Not Available,,,"Analytical, Data, Data Analysis, Data Analytics, Data Warehousing, Power BI, Python, Tagging",Consulting,Analytics,Naukri,3 weeks ago,Remote,https://www.naukri.com/job-listings-tealium-analytics-consultant-4labs-remote-3-to-5-years-090726507289,Consulting
Tableau Developer,4sight,Hyderabad,10-20 Yrs,10.0,20.0,Not Available,,,"Bigquery, Data, Data Visualization, Development, SQL, Snowflake, Tableau",Business Intelligence,Tableau,Naukri,2 weeks ago,On-site,https://www.naukri.com/job-listings-tableau-developer-4sight-hyderabad-10-to-20-years-140726019614,Business Intelligence
RESEARCH ANALYST,9Star Broking,Jodhpur,0-3 Yrs,0.0,3.0,Not Available,,,"Collections, Data, Data Collection, Market Research, Marketing, Research, Research Analyst, Sales",Research Analyst,Research Analyst,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-research-analyst-nine-star-broking-jodhpur-0-to-3-years-290923500083,Research Analyst
Senior Data and Analytics Engineer,9nexus,Remote,6-11 Yrs,6.0,11.0,Not Available,,,"Azure Databricks, Catalog, Delta Live Table, Microsoft Azure, PySpark, SQL, Unity Catalog, Unity3D",Data Engineering,Analytics Engineer,Naukri,2 weeks ago,Remote,https://www.naukri.com/job-listings-senior-data-and-analytics-engineer-9nexus-london-6-to-11-years-150726021099,Data Engineering
Data Engineer,A Premium Client of Tharare Global,Hyderabad,4-9 Yrs,4.0,9.0,Not Available,,,"Amazon Redshift, Apache Airflow, Aws Glue, Data Bricks, ETL, Python, SQL, Snowflake",Data Engineering,Data Engineer,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-data-engineer-tharare-global-solutions-hyderabad-4-to-9-years-010726016850,Data Engineering
Equity Research Analyst - Pharma & Chemical sector,A leading company in Metal Manufacturing & Hospitality Service,Pune,1-3 Yrs,1.0,3.0,6-12 Lacs PA,6.0,12.0,"Bloomberg, Dcf, Dcf Valuation, Equity Research, Financial Modelling, Modeling, Pharmaceutical, Primary Research",Research Analyst,Research Analyst,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-equity-research-analyst-pharma-chemical-sector-leo-placement-consultants-pune-1-to-3-years-230726028220,Research Analyst
Data Engineer,A.P. Moller Maersk,Bengaluru,6-11 Yrs,6.0,11.0,10-20 Lacs PA,10.0,20.0,"Apache Spark, Data Engineering, Data Lake, Data Warehousing, ETL, Kafka, Python, SQL",Data Engineering,Data Engineer,Naukri,1 day ago,On-site,https://www.naukri.com/job-listings-data-engineer-a-p-moller-maersk-bengaluru-6-to-11-years-300726032067,Data Engineering
OraclePL/SQL Developer,A2G Technologies,"Jamnagar, Ahmedabad, Rajkot, Surat, Vadodara",3-5 Yrs,3.0,5.0,Not Available,,,"Automation, Customer Satisfaction, Oracle SQL, Performance Tuning, Process Improvement, Rdbms, Shell Scripting, Unix",SQL / Database,Sql,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-oraclepl-sql-developer-a2g-technologies-jamnagar-ahmedabad-rajkot-surat-vadodara-3-to-5-years-050626503365,SQL / Database
Business Analyst,AAXIS Digital,Pune(Baner Pashan Link Road),3-5 Yrs,3.0,5.0,Not Available,,,"Business Analysis, Client Communication, Management, Power BI, Project Management, Requirement Gathering, Requirements, Uat",Business Analyst,Business Analyst,Naukri,Few hours ago,On-site,https://www.naukri.com/job-listings-business-analyst-aaxis-digital-pune-3-to-5-years-310726012894,Business Analyst
Accounting & Reporting Analyst,ABB,Bengaluru,2-7 Yrs,2.0,7.0,Not Available,,,"Accounting, Book Closing, Communication Skills, Finance, Https, R2R, Reconciliation, Reporting Analyst",Business Intelligence,Reporting Analyst,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-accounting-reporting-analyst-abb-india-limited-bengaluru-2-to-7-years-210726926655,Business Intelligence
Accounting & Reporting Analyst - Account Receivable,ABB,Bengaluru,1-2 Yrs,1.0,2.0,Not Available,,,"Account Receivable, Account Reconciliation, Accounting, Finance, Https, Neft, Reporting Analyst, SAP",Business Intelligence,Reporting Analyst,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-accounting-reporting-analyst-account-receivable-abb-india-limited-bengaluru-1-to-2-years-210726911604,Business Intelligence
Accounting & Reporting Analyst - Accounts Payable,ABB,Bengaluru,0-4 Yrs,0.0,4.0,Not Available,,,"Accounting, Compliance, Customer Satisfaction, Finance, Financial Reporting, Https, Reporting Analyst, SAP",Business Intelligence,Reporting Analyst,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-accounting-reporting-analyst-accounts-payable-abb-india-limited-bengaluru-0-to-4-years-210726927136,Business Intelligence
Accounting & Reporting Analyst - General Accounting,ABB,Bengaluru,2-6 Yrs,2.0,6.0,Not Available,,,"Book Closing, Excel, Finance, Ledger, Manufacturing, R2R, Reporting Analyst, SAP",Business Intelligence,Reporting Analyst,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-accounting-reporting-analyst-general-accounting-abb-india-limited-bengaluru-2-to-6-years-200726921034,Business Intelligence
Accounting & Reporting Analyst - General Accounting,ABB,"Bengaluru, Bengaluru",2-5 Yrs,2.0,5.0,Not Available,,,"Accounting, Accounting Standards, Compliance, Control Testing, Financial Analysis, Reporting Analyst, Sharepoint, Templates",Business Intelligence,Reporting Analyst,Naukri,2 weeks ago,On-site,https://www.naukri.com/job-listings-accounting-reporting-analyst-general-accounting-abb-india-limited-bengaluru-bengaluru-2-to-5-years-160726909014,Business Intelligence
Accounting & Reporting Analyst- GA,ABB,Bengaluru,2-7 Yrs,2.0,7.0,Not Available,,,"Accounting, Balance Sheet, General Accounting, Hrsd, Journal Entries, Operations, SAP, Screening",Business Intelligence,Reporting Analyst,Naukri,3 weeks ago,On-site,https://www.naukri.com/job-listings-accounting-reporting-analyst-ga-abb-india-limited-bengaluru-2-to-7-years-070726927121,Business Intelligence
Accounting & Reporting Analyst-GA,ABB,Bengaluru,5-8 Yrs,5.0,8.0,Not Available,,,"Accounting Standards, Book Closing, Compliance, Economics, Financial Reporting, R2R, Reporting Analyst, SAP",Business Intelligence,Reporting Analyst,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-accounting-reporting-analyst-ga-abb-india-limited-bengaluru-5-to-8-years-220726929823,Business Intelligence
Accounting and Reporting Analyst,ABB,Bengaluru,2-7 Yrs,2.0,7.0,Not Available,,,"Accounting, Compliance, Finance, Financial Reporting, Https, Ledger, Reporting Analyst, SAP",Business Intelligence,Reporting Analyst,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-accounting-and-reporting-analyst-abb-india-limited-bengaluru-2-to-7-years-210726911673,Business Intelligence
Accounting and Reporting analyst,ABB,Bengaluru,2-7 Yrs,2.0,7.0,Not Available,,,"Accounting, Finance, Https, Ledger, R2R, Reporting Analyst, SAP, Treasury",Business Intelligence,Reporting Analyst,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-accounting-and-reporting-analyst-abb-india-limited-bengaluru-2-to-7-years-220726929634,Business Intelligence
Accounting and reporting analyst,ABB,Bengaluru,1-4 Yrs,1.0,4.0,Not Available,,,"Accounting, Compliance, Finance, Financial Reporting, Ledger, Record To Report, Reporting Analyst, SAP",Business Intelligence,Reporting Analyst,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-accounting-and-reporting-analyst-abb-india-limited-bengaluru-1-to-4-years-290626927594,Business Intelligence
Business Intelligence Specialist,ABB,Bengaluru,2-7 Yrs,2.0,7.0,Not Available,,,"Alteryx, Bi Tools, Database Management System, Dbms, Natural Language Processing, SQL, SQL Server, Sw",Business Intelligence,Tableau,Naukri,3 weeks ago,On-site,https://www.naukri.com/job-listings-business-intelligence-specialist-abb-india-limited-bengaluru-2-to-7-years-100726921617,Business Intelligence
Talent Pool-FP&A-Data Scientist/Analytics Specialist,ABB,Bengaluru,3-6 Yrs,3.0,6.0,Not Available,,,"AI, Business Analysis, Data Analysis, Data Scientist, Power BI, Python, Storytelling, Time Series Analysis",Data Scientist,Tableau,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-talent-pool-fp-a-data-scientist-analytics-specialist-abb-india-limited-bengaluru-3-to-6-years-200726921062,Data Scientist
Accounting & Reporting Analyst - General Accounting,ABB India Ltd.,Bengaluru,2-6 Yrs,2.0,6.0,Not Available,,,"Commerce, Excel, Finance, General Accounting, Production, R2R, Reporting Analyst, SAP",Business Intelligence,Reporting Analyst,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-accounting-reporting-analyst-general-accounting-abb-ltd-bengaluru-2-to-6-years-030626502006,Business Intelligence
Accounting & Reporting Analyst-GA,ABB India Ltd.,Bengaluru,5-8 Yrs,5.0,8.0,Not Available,,,"Business Economics, Finance, Financial Reporting, General Accounting, Record To Report, Report Generation, Reporting Analyst, SAP",Business Intelligence,Reporting Analyst,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-accounting-reporting-analyst-ga-abb-ltd-bengaluru-5-to-8-years-180626505669,Business Intelligence
ETL / DB Developer,ADQ Services,Hyderabad,4-7 Yrs,4.0,7.0,Not Available,,,"Data Modeling, Data Quality, Data Warehousing, Database Design, Database Management, Debugging, Informatica, Management Systems",ETL / Data Integration,Etl,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-etl-db-developer-adq-services-hyderabad-4-to-7-years-270225501293,ETL / Data Integration
Power BI Developer,ADQ Services,Hyderabad,4-7 Yrs,4.0,7.0,Not Available,,,"Analytical, Business Analysis, Data Analytics, Data Modeling, Data Visualization, Database Management, Power BI, Query",Business Intelligence,Power Bi,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-power-bi-developer-adq-services-hyderabad-4-to-7-years-270225501490,Business Intelligence
AI ML Data Scientist (6+ Years) - Healthcare Analytics,AI & Data Analytics Product and Consulting Company,Hybrid - Gurugram,7-11 Yrs,7.0,11.0,20-32.5 Lacs PA,20.0,32.5,"Aiml, Azure, Deep Learning, Healthcare, Nlp, PySpark, Python, Team Management",Data Scientist,Analytics,Naukri,1 week ago,Hybrid,https://www.naukri.com/job-listings-ai-ml-data-scientist-6-years-healthcare-analytics-gostravvy-gurugram-7-to-11-years-200726024646,Data Scientist
Research Analyst,AI Workspace (AIW),Kolkata,0-2 Yrs,0.0,2.0,Not Available,,,"Agile, Analytical, Analytics, Basic, Ms Office, Research, Research Analysis, Research Analyst",Research Analyst,Research Analyst,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-research-analyst-ai-workspace-kolkata-0-to-2-years-090326503192,Research Analyst
Tableau Server Administrator,AION-TECH Solutions Limited,Hyderabad,3-8 Yrs,3.0,8.0,Not Available,,,"Access Management, Active Directory, Analytics, Business Intelligence, Disaster Recovery, Linux, Monitoring, Performance Tuning",Business Intelligence,Tableau,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-tableau-server-administrator-aiontech-solutions-hyderabad-3-to-8-years-290126511400,Business Intelligence
Tableau Server Administrator,AION-TECH Solutions Limited,Mumbai,3-8 Yrs,3.0,8.0,Not Available,,,"Access Management, Active Directory, Analytics, Business Intelligence, Disaster Recovery, Linux, Monitoring, Performance Tuning",Business Intelligence,Tableau,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-tableau-server-administrator-aiontech-solutions-mumbai-3-to-8-years-130126501150,Business Intelligence
Data Scientist,AIS business solution,Gurugram,1-5 Yrs,1.0,5.0,Not Available,,,"Analytics, Automotive, Back Office, Data Analysis, Machine Learning, Monitoring, Risk Analytics, Version Control",Data Scientist,Data Scientist,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-data-scientist-american-infosource-business-solutions-pvt-ltd-gurugram-1-to-5-years-220726501165,Data Scientist
Machine Learning Engineer,ALIQAN Technologies,"Bangalore Rural, Chennai, Bengaluru",7-12 Yrs,7.0,12.0,18-25 Lacs PA,18.0,25.0,"Agentic, Gen Ai, Kubeflow, Kubernetes, Llm, Machine Learning, PySpark, Python",Machine Learning / AI,Machine Learning,Naukri,1 day ago,On-site,https://www.naukri.com/job-listings-machine-learning-engineer-aliqan-services-bangalore-rural-chennai-bengaluru-7-to-12-years-300726029501,Machine Learning / AI
Data Scientist,ALOIS Solutions,"Hyderabad, Pune, Bengaluru",7-12 Yrs,7.0,12.0,10-14 Lacs PA,10.0,14.0,"Artificial Intelligence, Data Science, Deep Learning, Llm, Machine Learning, Natural Language Processing, PyTorch, Python",Data Scientist,Data Scientist,Naukri,4 days ago,On-site,https://www.naukri.com/job-listings-data-scientist-alois-solutions-hyderabad-pune-bengaluru-7-to-12-years-270726020604,Data Scientist
Tableau + Python Developer,ALT Digital Technologies,Noida,4-9 Yrs,4.0,9.0,Not Available,,,"Analytical, Automation, Data Processing, Git, Information Technology, Python, SQL, Version Control",Business Intelligence,Tableau,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-tableau-python-developer-alt-digital-technologies-noida-4-to-9-years-230726500693,Business Intelligence
Tableau + Python Developer,ALT Digital Technologies,Bengaluru,4-9 Yrs,4.0,9.0,Not Available,,,"Analytical, Automation, Data Processing, Git, Information Technology, Python, SQL, Version Control",Business Intelligence,Tableau,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-tableau-python-developer-alt-digital-technologies-bengaluru-4-to-9-years-191125507304,Business Intelligence
Analyst - Data Analytics,AMERICAN EXPRESS,Manesar,0-7 Yrs,0.0,7.0,Not Available,,,"Analytical, Analytics, Computer Science, Data Processing, Data Science, Focus, Mining, Usage",Other Analyst,Analytics,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-analyst-data-analytics-american-express-india-manesar-0-to-7-years-250626500053,Other Analyst
"Analyst - Data Science (SQL, Python, GenAI)",AMERICAN EXPRESS,Gurugram,0-2 Yrs,0.0,2.0,Not Available,,,"Analytical, Customer Acquisition, Data Processing, Data Science, Digital Marketing, Marketing Analytics, Python, SQL",Data Scientist,Sql,Naukri,3 weeks ago,On-site,https://www.naukri.com/job-listings-analyst-data-science-sql-python-genai-american-express-india-gurugram-0-to-2-years-100726500288,Data Scientist
"Analyst - Data Science (SQL, Python, GenAI)",AMERICAN EXPRESS,Kadipur,0-2 Yrs,0.0,2.0,Not Available,,,"Analytical, Customer Acquisition, Data Processing, Data Science, Digital Marketing, Marketing Analytics, Python, SQL",Data Scientist,Sql,Naukri,3 weeks ago,On-site,https://www.naukri.com/job-listings-analyst-data-science-sql-python-genai-american-express-india-kadipur-0-to-2-years-100726500287,Data Scientist
Analyst-Data Analytics,AMERICAN EXPRESS,"Gurugram, Manesar",0-1 Yrs,0.0,1.0,Not Available,,,"Analytics, Consumer Marketing, Data Analytics, Finance, Hive, Marketing, Mathematics, Programming Languages",Other Analyst,Analytics,Naukri,2 days ago,On-site,https://www.naukri.com/job-listings-analyst-data-analytics-american-express-india-gurugram-manesar-0-to-1-years-290726503324,Other Analyst
"Analyst-Data Analytics (Python, SQL, Gen AI)",AMERICAN EXPRESS,Gurugram,0-7 Yrs,0.0,7.0,Not Available,,,"Analytical, Analytics, Business Strategy, Data Mining, Gaming, Machine Learning, Regression Analysis, Usage",Other Analyst,Sql,Naukri,2 weeks ago,On-site,https://www.naukri.com/job-listings-analyst-data-analytics-python-sql-gen-ai-american-express-india-gurugram-0-to-7-years-140726502060,Other Analyst
Analyst-Data Analytics (SQL),AMERICAN EXPRESS,Gurugram,0-3 Yrs,0.0,3.0,Not Available,,,"Advanced Analytics, Algorithms, Business Development, Business Writing, Data Analytics, PySpark, Python, SQL",Other Analyst,Sql,Naukri,4 days ago,On-site,https://www.naukri.com/job-listings-analyst-data-analytics-sql-american-express-india-gurugram-0-to-3-years-270726502239,Other Analyst
"Senior Analyst - Data Governance & Management (SQL, Power BI)",AMERICAN EXPRESS,Gurugram,4-6 Yrs,4.0,6.0,Not Available,,,"Agile, Analytics, Automation, Business Intelligence, Data Management, Data Modeling, Risk Management, SQL",Business Intelligence,Sql,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-senior-analyst-data-governance-management-sql-power-bi-american-express-india-gurugram-4-to-6-years-230726505262,Business Intelligence
Senior Analyst -Data Analytics,AMERICAN EXPRESS,Gurugram,3-5 Yrs,3.0,5.0,Not Available,,,"Analytical, Analytics, Commerce, Customer Experience, Data Quality, SQL, Stakeholder Management, Statistical Analysis",Other Analyst,Analytics,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-senior-analyst-data-analytics-american-express-india-gurugram-3-to-5-years-230626500606,Other Analyst
Senior Analyst -Data Analytics,AMERICAN EXPRESS,Kadipur,3-5 Yrs,3.0,5.0,Not Available,,,"Analytical, Analytics, Commerce, Customer Experience, Data Quality, SQL, Stakeholder Management, Statistical Analysis",Other Analyst,Analytics,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-senior-analyst-data-analytics-american-express-india-kadipur-3-to-5-years-230626500605,Other Analyst
Senior Analyst-Data Analytics (Business Analyst),AMERICAN EXPRESS,Gurugram,4-10 Yrs,4.0,10.0,Not Available,,,"Analytical, Customer Engagement, Data Analysis, Financial Services, Product Design, Product Strategy, SQL, Senior Analyst",Business Analyst,Analytics,Naukri,2 weeks ago,On-site,https://www.naukri.com/job-listings-senior-analyst-data-analytics-business-analyst-american-express-india-gurugram-4-to-10-years-140726502136,Business Analyst
PL / SQL Developer,ANR Software,Noida,1-4 Yrs,1.0,4.0,Not Available,,,"Oracle SQL, PL/SQL, Packaging, Performance Tuning, Query, Sql Queries, Stored Procedures, Unix",SQL / Database,Sql,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-pl-sql-developer-anr-software-pvt-ltd-noida-1-to-4-years-140722501718,SQL / Database
Research Analyst,ANRK & Associates,Pune,2-4 Yrs,2.0,4.0,Not Available,,,"Business Administration, Business Presentations, Commerce, Ms Office Tools, Powerpoint, Research, Research Analyst, Taxation",Research Analyst,Research Analyst,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-research-analyst-anrk-pune-2-to-4-years-080725503564,Research Analyst
Python/Machine Learning Developer,ARD Softech,Pune,0-1 Yrs,0.0,1.0,Not Available,,,"Architecture, Business Analysis, Hr, Machine, Machine Learning, Management, Python, QA",Machine Learning / AI,Machine Learning,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-python-machine-learning-developer-ard-softech-pvt-ltd-pune-0-to-1-years-181119501247,Machine Learning / AI
Data Analyst,ARM Infotech,Madurai,2-7 Yrs,2.0,7.0,Not Available,,,"Analytical, Analytics, Business Intelligence, Computer Science, Data Analysis, Data Quality, Forecasting, Machine Learning",Data Analyst,Data Analyst,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-data-analyst-arm-infotech-madurai-2-to-7-years-250626507868,Data Analyst
Power Bi Developer,AROHA TECHNOLOGIES,Bengaluru,9-14 Yrs,9.0,14.0,15-20 Lacs PA,15.0,20.0,"BI, Development, Power BI, SQL",Business Intelligence,Bi Developer,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-power-bi-developer-aroha-technologies-bengaluru-9-to-14-years-010726027339,Business Intelligence
Data Engineer,ARP Investments,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,2.0,6.0,Not Available,,,"Analytics, Automation, Computer Science, Data Quality, Microstrategy, PostgreSQL, SQL Server, Teradata",Data Engineering,Data Engineer,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-data-engineer-arp-investments-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-6-years-300724502038,Data Engineering
Senior Etl Developer,ATPI - Direct Travel Group,Mumbai (All Areas)(Nahur),8-10 Yrs,8.0,10.0,15-19 Lacs PA,15.0,19.0,"Azure, Development, ETL, Etl Development, Microsoft Azure, SQL, SSIS, T-Sql",ETL / Data Integration,Etl,Naukri,2 days ago,On-site,https://www.naukri.com/job-listings-senior-etl-developer-atpi-direct-travel-group-mumbai-all-areas-8-to-10-years-290726017614,ETL / Data Integration
Senior BI Developer,ATS Corporation,Bengaluru,5-7 Yrs,5.0,7.0,Not Available,,,"Automation, Business Intelligence, Change Management, Computer Science, Incident Management, Production Support, SQL Server, Troubleshooting",Business Intelligence,Tableau,Naukri,Just now,On-site,https://www.naukri.com/job-listings-senior-bi-developer-ats-corporation-bengaluru-5-to-7-years-310726500709,Business Intelligence
Data Scientist,AVENIRDIGITAL SOLUTIONS PRIVATE LIMITED,Hyderabad,5-10 Yrs,5.0,10.0,Not Available,,,"AI, Artificial Intelligence, Data Analysis, Data Scientist, Llm, Machine Learning, Mlops, Python",Data Scientist,Analytics Engineer,Naukri,3 weeks ago,On-site,https://www.naukri.com/job-listings-data-scientist-avenirdigital-solutions-private-limited-hyderabad-5-to-10-years-060726919439,Data Scientist
Machine Learning Engineer,Aaron Softech,Jaipur,1-3 Yrs,1.0,3.0,Not Available,,,"Advanced Analytics, Analytical Skills, Artificial Intelligence, Computer Science, Data Analysis, Data Science, Machine Learning, System Integration",Machine Learning / AI,Machine Learning,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-machine-learning-engineer-aaroh-softech-pvt-ltd-jaipur-1-to-3-years-250626505417,Machine Learning / AI
Data Analyst,Aays Analytics,Gurugram,3-7 Yrs,3.0,7.0,Not Available,,,"Client Solutions, Consulting, Data Analytics, Microsoft, SQL, SSIS, Senior Data Analyst, Ssrs",Data Analyst,Data Analyst,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-data-analyst-aays-analytics-gurugram-3-to-7-years-111125502285,Data Analyst
Business Analyst,Aayu App,Kota,0-4 Yrs,0.0,4.0,Not Available,,,"Business Analysis, Business Analyst",Business Analyst,Business Analyst,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-business-analyst-aayu-kota-0-to-4-years-051224505397,Business Analyst
Market Research Analyst/ research Analyst,Abacus Service,Hyderabad,5-10 Yrs,5.0,10.0,Not Available,,,"Apollo, Linkedin Sales Navigator, Lusha, Market Analysis, Primary Research, Sales, Secondary Research, Zoominfo",Research Analyst,Research Analyst,Naukri,3 days ago,On-site,https://www.naukri.com/job-listings-market-research-analyst-research-analyst-abacus-service-hyderabad-5-to-10-years-270726031930,Research Analyst
Data Analyst (Immediate joiners only),Abacus Staffing & Services,"Hyderabad, Chennai, Bengaluru",6-10 Yrs,6.0,10.0,10-20 Lacs PA,10.0,20.0,"Analysis, Data Analysis, Data Analyst, Data Modeling, Data Visualization, ETL, Modeling, SQL",Data Analyst,Data Analyst,Naukri,1 day ago,On-site,https://www.naukri.com/job-listings-data-analyst-immediate-joiners-only-abacus-service-hyderabad-chennai-bengaluru-6-to-10-years-300726014837,Data Analyst
Senior Big Data Engineer,Abacus Staffing & Services,"Hyderabad, Chennai, Bengaluru",6-10 Yrs,6.0,10.0,Not Available,,,"Big Data, Big Data Technologies, Data, Hadoop, Hive, PySpark, Senior",Data Engineering,Data Engineer,Naukri,2 weeks ago,On-site,https://www.naukri.com/job-listings-senior-big-data-engineer-abacus-service-hyderabad-chennai-bengaluru-6-to-10-years-150726010731,Data Engineering
"Principal Machine Learning Engineer, Document AI Data",Abbyy,Bengaluru,10-15 Yrs,10.0,15.0,Not Available,,,"Automation, Data Quality, Diversity And Inclusion, Machine Learning, Technical Lead, Technical Leadership, Training, Wellness",Machine Learning / AI,Machine Learning,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-principal-machine-learning-engineer-document-ai-data-abbyy-bengaluru-10-to-15-years-250526502972,Machine Learning / AI
Senior Machine Learning Engineer - AI-Assisted Data Annotation,Abbyy,Bengaluru,5-10 Yrs,5.0,10.0,Not Available,,,"Automation, Computer Vision, Diversity And Inclusion, Hr, Infrastructure, Machine Learning, Natural Language Processing, Wellness",Machine Learning / AI,Machine Learning,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-senior-machine-learning-engineer-ai-assisted-data-annotation-abbyy-bengaluru-5-to-10-years-250526501614,Machine Learning / AI
"Senior Machine Learning Engineer, Synthetic Data",Abbyy,Bengaluru,5-10 Yrs,5.0,10.0,Not Available,,,"Automation, Computer Science, Computer Vision, Data Quality, Machine Learning, Monitoring, Production Engineering, Scheduling",Machine Learning / AI,Machine Learning,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-senior-machine-learning-engineer-synthetic-data-abbyy-bengaluru-5-to-10-years-250526501616,Machine Learning / AI
